subject,win_per_sz,window_auroc,window_sens,event_sens,gap
chb03,15.1,0.934,0.594,1.0,0.406
chb06,4.5,0.42,0.133,0.3,0.167
chb13,12.0,0.835,0.319,0.833,0.514
chb14,6.1,0.776,0.388,0.875,0.487
chb15,25.8,0.807,0.332,0.95,0.618
chb16,2.8,0.898,0.464,0.4,-0.064
chb17,24.7,0.741,0.0,0.667,0.667
chb18,13.8,0.917,0.687,0.833,0.147
